strategy,droneCount,maxAngle,droneID,timeStamp,x,y
decentralizedWeighted,20,40.0,33621542419,1664,-203.128372192383,-20.1190662384033
decentralizedWeighted,20,40.0,33806091806,1664,-270.641906738281,29.3782901763916
decentralizedWeighted,20,40.0,33990641193,1664,-252.02214050293,18.4883098602295
decentralizedWeighted,20,40.0,34175190580,1664,-242.236038208008,62.3525466918945
decentralizedWeighted,20,40.0,34359739967,1664,-243.61198425293,34.4844131469727
decentralizedWeighted,20,40.0,34544289354,1664,-178.054260253906,35.9650535583496
decentralizedWeighted,20,40.0,34728838741,1664,-204.614242553711,-39.8073425292969
decentralizedWeighted,20,40.0,34913388128,1664,-237.87907409668,-43.0095977783203
decentralizedWeighted,20,40.0,35097937515,1664,-202.620391845703,0.65959888696671
decentralizedWeighted,20,40.0,35282486902,1664,-212.956451416016,17.5095043182373
decentralizedWeighted,20,40.0,31776048549,1761,-170.708831787109,-6.66664171218872
decentralizedWeighted,20,40.0,31960597936,1761,-266.06640625,-40.7830047607422
decentralizedWeighted,20,40.0,32145147323,1761,-297.929992675781,-56.998851776123
decentralizedWeighted,20,40.0,32329696710,1761,-269.932434082031,76.2444686889648
decentralizedWeighted,20,40.0,32514246097,1761,-206.341888427734,45.0702247619629
decentralizedWeighted,20,40.0,32698795484,1761,-171.003845214844,16.2554054260254
decentralizedWeighted,20,40.0,32883344871,1761,-230.925155639648,0.35583317279816
decentralizedWeighted,20,40.0,33067894258,1762,-253.268768310547,-63.8923225402832
decentralizedWeighted,20,40.0,33252443645,1762,-220.134170532227,-59.6611709594727
decentralizedWeighted,20,40.0,33436993032,1762,-163.956314086914,-23.2062854766846
decentralizedWeighted,20,40.0,33621542419,1762,-198.065780639648,-20.1190662384033
decentralizedWeighted,20,40.0,33806091806,1762,-270.641906738281,24.3156700134277
decentralizedWeighted,20,40.0,33990641193,1762,-249.522155761719,15.9256925582886
decentralizedWeighted,20,40.0,34175190580,1762,-237.173446655273,62.3525466918945
decentralizedWeighted,20,40.0,34359739967,1762,-238.549392700195,34.4844131469727
decentralizedWeighted,20,40.0,34544289354,1762,-175.491653442383,37.6317176818848
decentralizedWeighted,20,40.0,34728838741,1762,-199.551651000977,-39.8073425292969
decentralizedWeighted,20,40.0,34913388128,1762,-232.816482543945,-43.0095977783203
decentralizedWeighted,20,40.0,35097937515,1762,-197.557800292969,0.65959888696671
decentralizedWeighted,20,40.0,35282486902,1762,-207.893859863281,17.5095043182373
decentralizedWeighted,20,40.0,31776048549,1861,-170.720611572266,-3.26818013191223
decentralizedWeighted,20,40.0,31960597936,1861,-261.066345214844,-40.7830047607422
decentralizedWeighted,20,40.0,32145147323,1861,-292.929931640625,-56.998851776123
decentralizedWeighted,20,40.0,32329696710,1862,-264.932373046875,76.2444686889648
decentralizedWeighted,20,40.0,32514246097,1862,-201.341918945313,45.0702247619629
decentralizedWeighted,20,40.0,32698795484,1862,-171.036804199219,12.9868516921997
decentralizedWeighted,20,40.0,32883344871,1862,-225.925186157227,0.35583317279816
decentralizedWeighted,20,40.0,33067894258,1862,-248.268798828125,-63.8923225402832
decentralizedWeighted,20,40.0,33252443645,1862,-215.134201049805,-59.6611709594727
decentralizedWeighted,20,40.0,33436993032,1862,-163.956314086914,-27.3729553222656
decentralizedWeighted,20,40.0,33621542419,1862,-193.065811157227,-20.1190662384033
